Id,Symbol
1,s
2,a
3,t
4,p
5,i
6,n
7,c
8,k
9,e
10,h
11,r
12,m
13,d
14,g
15,o
16,u
17,l
18,f
19,b
20,ck
21,ff
22,ll
23,ss
24,j
25,v
26,w
27,x
28,y
29,z
30,zz
31,qu
32,ch
33,sh
34,th
35,ng
36,ai
37,ee
38,igh
39,oa
40,oo
41,ar
42,or
43,ur
44,ow
45,oi
46,ear
47,air
48,ure
49,er
50,sc
51,ng
52,gh
53,ph
54,rh
55,wh
56,ti
57,ci
58,wr
59,oe
60,oy
61,ou
62,ae
63,ay
64,au
65,aw
66,ei
67,ey
68,eu
69,ew
70,ea
71,ue
72,ui
73,ie
74,thr
75,spl
76,str
77,spr
78,scr
79,squ
80,shr
81,sch
82,sph
83,are
84,dge
85,eer
86,ore
87,tch
